country,name,1/1/2007,31/12/2007,1/1/2008,31/12/2008,1/1/2009,31/12/2009,1/1/2010,31/12/2010,1/1/2011,31/12/2011,1/1/2012,31/12/2012,1/1/2013,31/12/2013,1/1/2014,31/12/2014,1/1/2015,31/12/2015,1/1/2016,31/12/2016,1/1/2017,31/12/2017,1/1/2018,31/12/2018,1/1/2019,31/12/2019,1/1/2020,31/12/2020,1/1/2021,31/12/2021
Bangladesh,DSEX Index,,,,,,,,,,,,,,4266.55,4286.15,4864.96,4941.52,4629.64,4629.64,5036.05,5083.89,6244.52,6254.42,5385.64,5465.26,4452.94,4453.29,5402.07,5402.07,6756.66
Belgium,BELSTK Index,34597.58,33923.67,33923.67,17789.89,17789.89,22764.58,22764.58,24375.79,24375.79,21996.91,21996.91,26542.91,26542.91,33393.9,33393.9,37112.87,37112.87,42529.65,42529.65,43084.99,43084.99,45177.17,45177.17,37906.17,37906.17,45507.87,45507.87,39760.45,39760.45,48999.23
Botswana,BGSMDC Index,6195.45,8421.63,8421.63,7035.5,7035.5,7241.89,7241.89,6412.94,6412.94,6970.94,6970.94,7510.24,7510.24,9053.36,9053.36,9501.6,9501.6,10602.32,10602.32,9400.71,9400.71,8860.13,8860.13,7851.88,7851.88,7494.55,7494.55,6879.35,6879.35,7009.62
Brazil,IBOV Index,44473.71,63886.1,63886.1,37550.31,37550.31,68588.41,68588.41,69304.81,69304.81,56754.08,56754.08,60952.08,60952.08,51507.16,51507.16,50007.41,50007.41,43349.96,43349.96,60227.28,60227.28,76402.08,76402.08,87887.26,87887.26,115645.3,115645.3,119017.24,119017.24,104822.44
Brazil,IGCX Index,5169.65,6800.59,6800.59,3697.05,3697.05,6779.55,6779.55,7629.88,7629.88,6679.89,6679.89,7950.45,7950.45,7788.16,7788.16,7968.84,7968.84,7014.72,7014.72,9042.28,9042.28,11746.98,11746.98,13123.57,13123.57,18179.46,18179.46,19122.39,19122.39,16961.49
Brazil,IBX Index,14567.5,21534.73,21534.73,12539.75,12539.75,21672.84,21672.84,22239.51,22239.51,19706.12,19706.12,21982.33,21982.33,21294.4,21294.4,20702.53,20702.53,18133.57,18133.57,24788.04,24788.04,31616,31616,36491.42,36491.42,48675.42,48675.42,50379.31,50379.31,44749.56
Brazil,IVBX2 Index,4734.54,5462.78,5462.78,3444.61,3444.61,5787.01,5787.01,6040.61,6040.61,5756.3,5756.3,6954.27,6954.27,7317.46,7317.46,7194.13,7194.13,7149.03,7149.03,8654.7,8654.7,10654.78,10654.78,11062.35,11062.35,16485.99,16485.99,15996.23,15996.23,14124.26
Brazil,IBOVIEE Index,13985.46,17305.63,17305.63,15291.33,15291.33,24327.08,24327.08,27242.57,27242.57,32613.71,32613.71,28792.84,28792.84,26250.84,26250.84,27161.26,27161.26,24803.21,24803.21,36108.16,36108.16,39732.32,39732.32,49266.22,49266.22,76627.21,76627.21,82845.94,82845.94,76305.03
Bulgaria,SOFIX Index,1224.12,1767.88,1767.88,358.66,358.66,427.27,427.27,362.35,362.35,322.11,322.11,345.46,345.46,491.52,491.52,522.1,522.1,460.9,460.9,586.43,586.43,677.45,677.45,594.46,594.46,568.14,568.14,447.53,447.53,635.68
Canada,SPTSX60 Index,742.77,808.53,808.53,541.82,541.82,693.23,693.23,768.65,768.65,680.87,680.87,713.72,713.72,783.75,783.75,854.85,854.85,764.54,764.54,900.05,900.05,959.7,959.7,859.32,859.32,1014.92,1014.92,1034.76,1034.76,1286.98
Canada,TXEQ Index,13338.16,14448.72,14448.72,9350.91,9350.91,12232.12,12232.12,13968.85,13968.85,12316.18,12316.18,12783.56,12783.56,14075.33,14075.33,15119.87,15119.87,13415.69,13415.69,15804.04,15804.04,16766.6,16766.6,14785.46,14785.46,17584.1,17584.1,18039.86,18039.86,21958.21
Canada,SPTSX Index,12908.39,13833.06,13833.06,8987.7,8987.7,11746.11,11746.11,13443.22,13443.22,11955.09,11955.09,12433.53,12433.53,13621.55,13621.55,14632.44,14632.44,13009.95,13009.95,15287.59,15287.59,16209.13,16209.13,14322.86,14322.86,17063.43,17063.43,17433.36,17433.36,21222.84
Canada,SPTSXVEN Index,2987.08,2839.66,2839.66,797.02,797.02,1520.72,1520.72,2287.85,2287.85,1484.66,1484.66,1221.3,1221.3,931.97,931.97,695.53,695.53,525.66,525.66,762.37,762.37,850.72,850.72,557.2,557.2,577.54,577.54,875.36,875.36,939.18
Canada,UTY Index,493.37,568.76,568.76,398.46,398.46,418,418,421.84,421.84,481.45,481.45,458.63,458.63,488.58,488.58,606.61,606.61,547.09,547.09,619.08,619.08,674.54,674.54,673.49,673.49,825.82,825.82,820.66,820.66,940.77
chile,IPSA Index,2693.36,3051.83,3051.83,2376.42,2376.42,3581.42,3581.42,4927.53,4927.53,4177.53,4177.53,4301.38,4301.38,3699.19,3699.19,3850.96,3850.96,3680.21,3680.21,4151.39,4151.39,5564.6,5564.6,5105.43,5105.43,4669.85,4669.85,4177.22,4177.22,4308.38
chile,CHLRGCAP Index,1506.77,1714.85,1714.85,1623.76,1623.76,2441.85,2441.85,3288.41,3288.41,2793.97,2793.97,2899.97,2899.97,2434.29,2434.29,2463.86,2463.86,2317.48,2317.48,2474.17,2474.17,3168.07,3168.07,2803.14,2803.14,2434.16,2434.16,2105.92,2105.92,2001.78
chile,CHILE65 Index,1469.42,1692.96,1692.96,1647.2,1647.2,2485.03,2485.03,3412.36,3412.36,2962.92,2962.92,3078.68,3078.68,2605.72,2605.72,2645.48,2645.48,2464.99,2464.99,2714.27,2714.27,3524.84,3524.84,3155.68,3155.68,2720.59,2720.59,2323.12,2323.12,2171.99
